x,y,theta,speed,xref,yref
-0.000000, -0.199581, 0.000000, 0.720000, 0.000000, -0.200000
-0.000000, -0.199162, 0.000000, 1.044000, -0.000000, -0.199581
-0.000001, -0.198743, 0.000000, 0.624000, -0.000001, -0.199162
-0.000002, -0.198324, -0.000000, 0.724000, -0.000001, -0.198743
-0.000003, -0.197906, -0.000000, 0.758000, -0.000002, -0.198324
-0.000005, -0.197487, -0.000000, 0.869000, -0.000003, -0.197906
-0.000006, -0.197068, 0.000000, 0.749000, -0.000005, -0.197487
-0.000008, -0.196649, 0.000000, 0.685000, -0.000006, -0.197068
-0.000011, -0.196230, 0.000000, 0.758000, -0.000008, -0.196649
-0.000013, -0.195811, 0.000000, 0.816000, -0.000011, -0.196230
-0.000016, -0.195392, -0.000000, 0.750000, -0.000013, -0.195811
-0.000019, -0.194974, -0.000000, 0.680000, -0.000016, -0.195392
-0.000022, -0.194555, 0.000000, 0.820000, -0.000019, -0.194974
-0.000026, -0.194136, 0.000000, 0.695000, -0.000022, -0.194555
-0.000029, -0.193717, 0.000000, 0.759000, -0.000026, -0.194136
-0.000034, -0.193298, 0.000000, 0.808000, -0.000030, -0.193717
-0.000038, -0.192879, 0.000000, 0.793000, -0.000034, -0.193298
-0.000043, -0.192460, 0.000000, 0.704000, -0.000038, -0.192879
-0.000047, -0.192042, 0.000000, 0.766000, -0.000043, -0.192460
-0.000052, -0.191623, 0.000000, 0.846000, -0.000048, -0.192042
-0.000058, -0.191204, -0.000000, 0.787000, -0.000053, -0.191623
-0.000064, -0.190785, -0.000000, 0.727000, -0.000058, -0.191204
-0.000069, -0.190366, -0.000000, 0.661000, -0.000064, -0.190785
-0.000076, -0.189947, -0.000000, 0.765000, -0.000070, -0.190366
-0.000082, -0.189528, -0.000000, 0.694000, -0.000076, -0.189947
-0.000089, -0.189110, -0.000000, 0.886000, -0.000082, -0.189529
-0.000096, -0.188691, -0.000000, 0.770000, -0.000089, -0.189110
-0.000103, -0.188272, -0.000000, 0.792000, -0.000096, -0.188691
-0.000111, -0.187853, -0.000000, 0.762000, -0.000103, -0.188272
-0.000118, -0.187434, 0.000000, 0.735000, -0.000111, -0.187853
-0.000126, -0.187016, 0.000000, 0.759000, -0.000118, -0.187434
-0.000135, -0.186597, -0.000000, 0.736000, -0.000126, -0.187016
-0.000143, -0.186178, -0.000000, 0.649000, -0.000135, -0.186597
-0.000152, -0.185759, -0.000000, 0.747000, -0.000143, -0.186178
-0.000161, -0.185341, -0.000000, 0.822000, -0.000152, -0.185759
-0.000170, -0.184922, -0.000000, 0.712000, -0.000161, -0.185341
-0.000180, -0.184503, -0.000000, 0.756000, -0.000171, -0.184922
-0.000190, -0.184084, -0.000000, 0.778000, -0.000180, -0.184503
-0.000200, -0.183666, -0.000000, 0.702000, -0.000190, -0.184084
-0.000210, -0.183247, -0.000000, 0.745000, -0.000200, -0.183666
-0.000221, -0.182828, -0.000000, 0.719000, -0.000211, -0.183247
-0.000232, -0.182409, -0.000000, 0.802000, -0.000221, -0.182828
-0.000243, -0.181991, 0.000000, 0.605000, -0.000232, -0.182409
-0.000255, -0.181572, 0.000000, 0.832000, -0.000243, -0.181991
-0.000266, -0.181153, 0.000000, 0.753000, -0.000255, -0.181572
-0.000278, -0.180735, 0.000000, 0.616000, -0.000266, -0.181153
-0.000291, -0.180316, 0.000000, 0.757000, -0.000278, -0.180735
-0.000303, -0.179897, 0.000000, 0.674000, -0.000291, -0.180316
-0.000316, -0.179479, -0.000000, 0.905000, -0.000303, -0.179897
-0.000329, -0.179060, 0.000000, 0.791000, -0.000316, -0.179479
-0.000342, -0.178641, 0.000000, 0.710000, -0.000329, -0.179060
-0.000356, -0.178223, -0.000000, 0.698000, -0.000342, -0.178641
-0.000369, -0.177804, 0.000000, 0.698000, -0.000356, -0.178223
-0.000384, -0.177385, 0.000000, 0.901000, -0.000370, -0.177804
-0.000398, -0.176967, 0.000000, 0.710000, -0.000384, -0.177385
-0.000412, -0.176548, 0.000000, 0.758000, -0.000398, -0.176967
-0.000427, -0.176130, 0.000000, 0.781000, -0.000413, -0.176548
-0.000442, -0.175711, -0.000000, 0.665000, -0.000427, -0.176130
-0.000458, -0.175292, -0.000000, 0.746000, -0.000443, -0.175711
-0.000474, -0.174874, -0.000000, 0.648000, -0.000458, -0.175292
-0.000489, -0.174455, -0.000000, 0.664000, -0.000474, -0.174874
-0.000506, -0.174037, 0.000000, 0.697000, -0.000490, -0.174455
-0.000522, -0.173618, 0.000000, 0.693000, -0.000506, -0.174037
-0.000539, -0.173200, 0.000000, 0.814000, -0.000522, -0.173618
-0.000556, -0.172781, -0.000000, 0.775000, -0.000539, -0.173200
-0.000573, -0.172363, -0.000000, 0.781000, -0.000556, -0.172781
-0.000590, -0.171944, -0.000000, 0.844000, -0.000573, -0.172363
-0.000608, -0.171526, 0.000000, 0.649000, -0.000591, -0.171944
-0.000626, -0.171107, 0.000000, 0.704000, -0.000608, -0.171526
-0.000645, -0.170689, 0.000000, 0.637000, -0.000626, -0.171107
-0.000663, -0.170271, 0.000000, 0.718000, -0.000645, -0.170689
-0.000682, -0.169852, 0.000000, 1.111000, -0.000663, -0.170271
-0.000701, -0.169434, 0.000000, 0.744000, -0.000682, -0.169852
-0.000720, -0.169015, -0.000000, 0.758000, -0.000701, -0.169434
-0.000740, -0.168597, -0.000000, 0.720000, -0.000720, -0.169015
-0.000760, -0.168179, -0.000000, 0.820000, -0.000740, -0.168597
-0.000780, -0.167760, -0.000000, 0.743000, -0.000760, -0.168179
-0.000800, -0.167342, -0.000000, 0.644000, -0.000780, -0.167760
-0.000821, -0.166924, -0.000000, 0.725000, -0.000800, -0.167342
-0.000842, -0.166505, 0.000000, 0.744000, -0.000821, -0.166924
-0.000863, -0.166087, 0.000000, 0.654000, -0.000842, -0.166505
-0.000884, -0.165669, -0.000000, 1.168000, -0.000863, -0.166087
-0.000906, -0.165251, 0.000000, 0.847000, -0.000885, -0.165669
-0.000928, -0.164832, 0.000000, 0.786000, -0.000906, -0.165251
-0.000950, -0.164414, -0.000000, 0.751000, -0.000928, -0.164832
-0.000973, -0.163996, -0.000000, 0.708000, -0.000950, -0.164414
-0.000995, -0.163578, -0.000000, 0.619000, -0.000973, -0.163996
-0.001018, -0.163160, 0.000000, 0.723000, -0.000996, -0.163578
-0.001042, -0.162741, 0.000000, 0.728000, -0.001019, -0.163160
-0.001065, -0.162323, 0.000000, 0.789000, -0.001042, -0.162741
-0.001089, -0.161905, 0.000000, 0.837000, -0.001065, -0.162323
-0.001113, -0.161487, 0.000000, 0.604000, -0.001089, -0.161905
-0.001137, -0.161069, 0.000000, 0.805000, -0.001113, -0.161487
-0.001162, -0.160651, 0.000000, 0.735000, -0.001138, -0.161069
-0.001187, -0.160233, 0.000000, 0.742000, -0.001162, -0.160651
-0.001212, -0.159815, 0.000000, 0.706000, -0.001187, -0.160233
-0.001237, -0.159397, -0.000000, 0.833000, -0.001212, -0.159815
-0.001263, -0.158979, -0.000000, 0.664000, -0.001238, -0.159397
-0.001289, -0.158561, -0.000000, 0.786000, -0.001263, -0.158979
-0.001315, -0.158143, -0.000000, 0.832000, -0.001289, -0.158561
-0.001342, -0.157725, 0.000000, 0.569000, -0.001315, -0.158143
-0.001368, -0.157307, 0.000000, 0.762000, -0.001342, -0.157725
-0.001395, -0.156889, 0.000000, 0.580000, -0.001368, -0.157307
-0.001422, -0.156471, 0.000000, 0.775000, -0.001395, -0.156889
-0.001450, -0.156053, 0.000000, 0.718000, -0.001422, -0.156471
-0.001478, -0.155635, 0.000000, 0.655000, -0.001450, -0.156053
-0.001506, -0.155217, 0.000000, 0.583000, -0.001478, -0.155635
-0.001534, -0.154800, 0.000000, 0.729000, -0.001506, -0.155217
-0.001562, -0.154382, -0.000000, 0.678000, -0.001534, -0.154800
-0.001591, -0.153964, -0.000000, 0.808000, -0.001562, -0.154382
-0.001620, -0.153546, -0.000000, 0.721000, -0.001591, -0.153964
-0.001649, -0.153129, 0.000000, 0.708000, -0.001620, -0.153546
-0.001679, -0.152711, -0.000000, 0.764000, -0.001650, -0.153129
-0.001709, -0.152293, 0.000000, 0.752000, -0.001679, -0.152711
-0.001739, -0.151875, 0.000000, 0.831000, -0.001709, -0.152293
-0.001769, -0.151458, 0.000000, 0.906000, -0.001739, -0.151875
-0.001800, -0.151040, 0.000000, 0.830000, -0.001769, -0.151458
-0.001831, -0.150623, -0.000000, 0.624000, -0.001800, -0.151040
-0.001862, -0.150205, 0.000000, 0.718000, -0.001831, -0.150623
-0.001893, -0.149787, -0.000000, 0.873000, -0.001862, -0.150205
-0.001925, -0.149370, -0.000000, 0.808000, -0.001893, -0.149787
-0.001957, -0.148952, -0.000000, 0.678000, -0.001925, -0.149370
-0.001989, -0.148535, -0.000000, 0.747000, -0.001957, -0.148952
